Baud, Errors
7900, 18990, 40
7901, 18990, 42
7902, 18990, 42
7903, 18990, 40
7904, 18990, 44
7905, 18990, 40
7906, 18990, 34
7907, 18990, 18
7908, 18990, 9
7909, 18990, 14
7910, 18990, 25
7911, 18990, 39
7912, 18990, 41
7913, 18990, 45
7914, 18990, 42
7915, 18990, 37
7916, 18990, 43
7917, 18990, 39
7918, 18990, 34
7919, 18990, 23
7920, 18990, 10
7921, 18990, 9
7922, 18990, 17
7923, 18990, 29
7924, 18990, 41
7925, 18990, 39
7926, 18990, 42
7927, 18990, 39
7928, 18990, 44
7929, 18990, 41
7930, 18990, 40
7931, 18990, 33
7932, 18990, 22
7933, 18990, 14
7934, 18990, 16
7935, 18990, 27
7936, 18990, 35
7937, 18990, 38
7938, 18990, 40
7939, 18990, 44
7940, 18990, 43
7941, 18990, 41
7942, 18990, 43
7943, 18990, 32
7944, 18990, 25
7945, 18990, 14
7946, 18990, 11
7947, 18990, 14
7948, 18990, 37
7949, 18990, 37
7950, 18990, 43
7951, 18990, 42
7952, 18990, 46
7953, 18990, 42
7954, 18990, 40
7955, 18990, 35
7956, 18990, 32
7957, 18990, 17
7958, 18990, 16
7959, 18990, 12
7960, 18990, 20
7961, 18990, 37
7962, 18990, 43
7963, 18990, 44
7964, 18990, 44
7965, 18990, 42
7966, 18990, 40
7967, 18990, 36
7968, 18990, 36
7969, 18990, 27
7970, 18990, 15
7971, 18990, 9
7972, 18990, 17
7973, 18990, 30
7974, 18990, 43
7975, 18990, 40
7976, 18990, 45
7977, 18990, 42
7978, 18990, 43
7979, 18990, 39
7980, 18990, 42
7981, 18990, 39
7982, 18990, 22
7983, 18990, 9
7984, 18990, 19
7985, 18990, 25
7986, 18990, 42
7987, 18990, 41
7988, 18990, 45
7989, 18990, 43
7990, 18990, 44
7991, 18990, 42
7992, 18990, 47
7993, 18990, 37
7994, 18990, 30
7995, 18990, 13
7996, 18990, 9
7997, 18990, 16
7998, 18990, 32
7999, 18990, 40
8000, 18990, 43
8001, 18990, 44
8002, 18990, 43
8003, 18990, 43
8004, 18990, 47
8005, 18990, 41
8006, 18990, 35
8007, 18990, 16
8008, 18990, 6
8009, 18990, 12
8010, 18990, 28
8011, 18990, 36
8012, 18990, 45
8013, 18990, 44
8014, 18990, 44
8015, 18990, 38
8016, 18990, 38
8017, 18990, 40
8018, 18990, 42
8019, 18990, 25
8020, 18990, 13
8021, 18990, 13
8022, 18990, 23
8023, 18990, 34
8024, 18990, 41
8025, 18990, 39
8026, 18990, 43
8027, 18990, 41
8028, 18990, 40
8029, 18990, 42
8030, 18990, 41
8031, 18990, 31
8032, 18990, 22
8033, 18990, 15
8034, 18990, 10
8035, 18990, 29
8036, 18990, 36
8037, 18990, 35
8038, 18990, 41
8039, 18990, 41
8040, 18990, 43
8041, 18990, 39
8042, 18990, 40
8043, 18990, 34
8044, 18990, 27
8045, 18990, 15
8046, 18990, 10
8047, 18990, 19
8048, 18990, 33
8049, 18990, 34
8050, 18990, 37
8051, 18990, 43
8052, 18990, 40
8053, 18990, 41
8054, 18990, 42
8055, 18990, 37
8056, 18990, 32
8057, 18990, 14
8058, 18990, 8
8059, 18990, 10
8060, 18990, 25
8061, 18990, 38
8062, 18990, 36
8063, 18990, 40
8064, 18990, 44
8065, 18990, 41
8066, 18990, 39
8067, 18990, 36
8068, 18990, 36
8069, 18990, 28
8070, 18990, 14
8071, 18990, 7
8072, 18990, 18
8073, 18990, 28
8074, 18990, 39
8075, 18990, 42
8076, 18990, 39
8077, 18990, 42
8078, 18990, 39
8079, 18990, 42
8080, 18990, 42
8081, 18990, 38
8082, 18990, 22
8083, 18990, 7
8084, 18990, 11
8085, 18990, 29
8086, 18990, 41
8087, 18990, 35
8088, 18990, 41
8089, 18990, 38
8090, 18990, 41
8091, 18990, 40
8092, 18990, 42
8093, 18990, 35
8094, 18990, 26
8095, 18990, 11
8096, 18990, 5
8097, 18990, 17
8098, 18990, 33
8099, 18990, 39
8100, 18990, 41
7900, 18991, 42
7901, 18991, 42
7902, 18991, 42
7903, 18991, 35
7904, 18991, 45
7905, 18991, 38
7906, 18991, 35
7907, 18991, 18
7908, 18991, 6
7909, 18991, 13
7910, 18991, 27
7911, 18991, 37
7912, 18991, 43
7913, 18991, 42
7914, 18991, 42
7915, 18991, 40
7916, 18991, 40
7917, 18991, 41
7918, 18991, 35
7919, 18991, 28
7920, 18991, 12
7921, 18991, 12
7922, 18991, 20
7923, 18991, 34
7924, 18991, 40
7925, 18991, 40
7926, 18991, 39
7927, 18991, 39
7928, 18991, 43
7929, 18991, 43
