Baud,Silence,Errors
7990.0, 0, 43
7990.5, 0, 44
7991.0, 0, 44
7991.5, 0, 44
7992.0, 0, 49
7992.5, 0, 43
7993.0, 0, 39
7993.5, 0, 31
7994.0, 0, 27
7994.5, 0, 26
7995.0, 0, 14
7995.5, 0, 7
7996.0, 0, 10
7996.5, 0, 12
7997.0, 0, 17
7997.5, 0, 22
7998.0, 0, 31
7998.5, 0, 37
7999.0, 0, 39
7999.5, 0, 39
8000.0, 0, 46
8000.5, 0, 47
8001.0, 0, 42
8001.5, 0, 41
8002.0, 0, 41
8002.5, 0, 43
8003.0, 0, 44
8003.5, 0, 40
8004.0, 0, 47
8004.5, 0, 45
8005.0, 0, 41
8005.5, 0, 31
8006.0, 0, 34
8006.5, 0, 27
8007.0, 0, 14
8007.5, 0, 17
8008.0, 0, 13
8008.5, 0, 10
8009.0, 0, 15
8009.5, 0, 14
8010.0, 0, 33
7990.0, 1, 43
7990.5, 1, 43
7991.0, 1, 44
7991.5, 1, 44
7992.0, 1, 45
7992.5, 1, 42
7993.0, 1, 38
7993.5, 1, 29
7994.0, 1, 28
7994.5, 1, 26
7995.0, 1, 16
7995.5, 1, 7
7996.0, 1, 9
7996.5, 1, 12
7997.0, 1, 18
7997.5, 1, 21
7998.0, 1, 29
7998.5, 1, 33
7999.0, 1, 41
7999.5, 1, 40
8000.0, 1, 46
8000.5, 1, 43
8001.0, 1, 42
8001.5, 1, 40
8002.0, 1, 41
8002.5, 1, 42
8003.0, 1, 45
8003.5, 1, 44
8004.0, 1, 45
8004.5, 1, 44
8005.0, 1, 33
8005.5, 1, 30
8006.0, 1, 31
8006.5, 1, 23
8007.0, 1, 15
8007.5, 1, 18
8008.0, 1, 12
8008.5, 1, 12
8009.0, 1, 13
8009.5, 1, 13
8010.0, 1, 31
7990.0, 2, 42
7990.5, 2, 44
7991.0, 2, 44
7991.5, 2, 43
7992.0, 2, 47
7992.5, 2, 45
7993.0, 2, 37
7993.5, 2, 32
7994.0, 2, 27
7994.5, 2, 24
7995.0, 2, 18
7995.5, 2, 8
7996.0, 2, 8
7996.5, 2, 11
7997.0, 2, 16
7997.5, 2, 19
7998.0, 2, 31
7998.5, 2, 33
7999.0, 2, 42
7999.5, 2, 41
8000.0, 2, 45
8000.5, 2, 42
8001.0, 2, 42
8001.5, 2, 41
8002.0, 2, 39
8002.5, 2, 44
8003.0, 2, 44
8003.5, 2, 40
8004.0, 2, 44
8004.5, 2, 43
8005.0, 2, 36
8005.5, 2, 30
8006.0, 2, 29
8006.5, 2, 25
8007.0, 2, 16
8007.5, 2, 18
8008.0, 2, 13
8008.5, 2, 11
8009.0, 2, 12
8009.5, 2, 12
8010.0, 2, 27
7990.0, 3, 44
7990.5, 3, 45
7991.0, 3, 45
7991.5, 3, 43
7992.0, 3, 44
7992.5, 3, 45
7993.0, 3, 38
7993.5, 3, 33
7994.0, 3, 29
7994.5, 3, 23
7995.0, 3, 17
7995.5, 3, 7
7996.0, 3, 8
7996.5, 3, 10
7997.0, 3, 20
7997.5, 3, 24
7998.0, 3, 29
7998.5, 3, 38
7999.0, 3, 42
7999.5, 3, 42
8000.0, 3, 44
8000.5, 3, 43
8001.0, 3, 42
8001.5, 3, 41
8002.0, 3, 40
8002.5, 3, 43
8003.0, 3, 43
8003.5, 3, 40
8004.0, 3, 44
8004.5, 3, 45
8005.0, 3, 36
8005.5, 3, 31
8006.0, 3, 29
8006.5, 3, 28
8007.0, 3, 15
8007.5, 3, 19
8008.0, 3, 11
8008.5, 3, 12
8009.0, 3, 13
8009.5, 3, 12
8010.0, 3, 29
7990.0, 4, 42
7990.5, 4, 44
7991.0, 4, 44
7991.5, 4, 42
7992.0, 4, 41
7992.5, 4, 43
7993.0, 4, 41
7993.5, 4, 32
7994.0, 4, 28
7994.5, 4, 27
7995.0, 4, 15
7995.5, 4, 7
7996.0, 4, 9
7996.5, 4, 11
7997.0, 4, 16
7997.5, 4, 25
7998.0, 4, 30
7998.5, 4, 37
7999.0, 4, 42
7999.5, 4, 39
8000.0, 4, 45
8000.5, 4, 43
8001.0, 4, 42
8001.5, 4, 43
8002.0, 4, 41
8002.5, 4, 44
8003.0, 4, 43
8003.5, 4, 41
8004.0, 4, 42
8004.5, 4, 45
8005.0, 4, 39
8005.5, 4, 31
8006.0, 4, 30
8006.5, 4, 30
8007.0, 4, 17
8007.5, 4, 18
8008.0, 4, 13
8008.5, 4, 12
8009.0, 4, 13
8009.5, 4, 13
8010.0, 4, 29
7990.0, 5, 45
7990.5, 5, 44
7991.0, 5, 46
7991.5, 5, 44
7992.0, 5, 42
7992.5, 5, 41
7993.0, 5, 38
7993.5, 5, 28
7994.0, 5, 27
7994.5, 5, 25
7995.0, 5, 13
7995.5, 5, 6
7996.0, 5, 9
7996.5, 5, 10
7997.0, 5, 17
7997.5, 5, 23
7998.0, 5, 28
7998.5, 5, 37
7999.0, 5, 40
7999.5, 5, 39
8000.0, 5, 45
8000.5, 5, 43
8001.0, 5, 42
8001.5, 5, 41
8002.0, 5, 41
8002.5, 5, 45
8003.0, 5, 41
8003.5, 5, 40
8004.0, 5, 44
8004.5, 5, 47
8005.0, 5, 39
8005.5, 5, 33
8006.0, 5, 34
8006.5, 5, 26
8007.0, 5, 15
8007.5, 5, 17
8008.0, 5, 13
8008.5, 5, 13
8009.0, 5, 14
8009.5, 5, 13
8010.0, 5, 30
7990.0, 6, 42
7990.5, 6, 46
7991.0, 6, 44
7991.5, 6, 41
7992.0, 6, 41
7992.5, 6, 42
7993.0, 6, 41
7993.5, 6, 29
7994.0, 6, 29
7994.5, 6, 26
7995.0, 6, 14
7995.5, 6, 6
7996.0, 6, 8
7996.5, 6, 10
7997.0, 6, 17
7997.5, 6, 24
7998.0, 6, 31
7998.5, 6, 34
7999.0, 6, 40
7999.5, 6, 35
8000.0, 6, 44
8000.5, 6, 42
8001.0, 6, 43
8001.5, 6, 43
8002.0, 6, 42
8002.5, 6, 46
8003.0, 6, 43
8003.5, 6, 40
8004.0, 6, 44
8004.5, 6, 45
8005.0, 6, 37
8005.5, 6, 30
8006.0, 6, 32
8006.5, 6, 28
8007.0, 6, 14
8007.5, 6, 16
8008.0, 6, 13
8008.5, 6, 11
8009.0, 6, 13
8009.5, 6, 14
8010.0, 6, 30
7990.0, 7, 45
7990.5, 7, 44
7991.0, 7, 44
7991.5, 7, 42
7992.0, 7, 46
7992.5, 7, 43
7993.0, 7, 40
7993.5, 7, 34
7994.0, 7, 28
7994.5, 7, 25
7995.0, 7, 13
7995.5, 7, 5
7996.0, 7, 10
7996.5, 7, 11
7997.0, 7, 15
7997.5, 7, 25
7998.0, 7, 34
7998.5, 7, 35
7999.0, 7, 40
7999.5, 7, 39
8000.0, 7, 45
8000.5, 7, 44
8001.0, 7, 43
8001.5, 7, 44
8002.0, 7, 40
8002.5, 7, 44
8003.0, 7, 41
8003.5, 7, 39
8004.0, 7, 46
8004.5, 7, 46
8005.0, 7, 41
8005.5, 7, 31
8006.0, 7, 30
8006.5, 7, 27
8007.0, 7, 11
8007.5, 7, 12
8008.0, 7, 13
8008.5, 7, 11
8009.0, 7, 16
